nanopore_name,peptide_name,voltage,peptide_conc,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,A3,A3_err,tau3,tau3_err,tau_mean,tau_mean_err
PA,guesthost_Trp,40.0,90.0,1,3,0.9696717369383482,-362.2767059925816,0.9999995341318376,0.24959366604093922,0.002071404356075448,0.0014325055318790626,0.4000512352429938,0.4166483033855431,0.006869123600446425,0.004065981703633946,0.15517108544818103,0.030158942555885956,0.04376720753190018,0.004750273695693261,0.011610809872230256,0.0004360465722097449
PA,guesthost_Trp,40.0,90.0,2,0,0.9874130893461716,-4359.5626157841225,0.9385651180321419,520050.8097739762,0.010346201921107714,210.89002959484262,0.5158226202283637,551773.5775569846,0.0103432141065703,261.92319952336805,0.08779052810870028,511649.100655571,0.010352578558342016,720.0281473080229,0.015954706368226552,0.000138217883845289
PA,guesthost_Trp,40.0,90.0,2,1,0.9905804188720507,-9184.759702528341,0.9249193011121606,135.64657498426794,0.01099452817214724,0.06153771498327294,0.40027708721774513,251688.92141145395,0.00972807372388593,292.7998378744761,0.19326181465735012,251652.37466979836,0.00972838987711022,607.141798384663,0.015943102608821445,6.367457547582825e-05
PA,guesthost_Trp,40.0,90.0,2,3,0.7341645942462065,-91.93933579470644,0.9714511563239914,11.303023140368358,0.002873464347699855,0.00716157942655572,0.9805047081671049,64.22063295623818,0.0010764213615343456,4.371519832045824,0.1374091537669606,64.22149926349246,0.0010720113042909103,31.534224742812306,0.003994170642336089,0.06585546391242116
PA,guesthost_Trp,40.0,90.0,0,1,0.9986814480569732,-33971.12626473426,0.8756831965772305,0.0010966060982466673,0.019211092254790577,4.210050399054211e-05,0.1462033226634868,0.0004986790746487208,0.21529064664083572,0.0011946292793777141,0.017499786901552888,0.00036829025679101105,0.8005474307659175,0.007153369353927564,0.06230844799566513,5.553380869724406e-05
PA,guesthost_Trp,40.0,90.0,0,2,0.9952103448859261,-5169.853997118516,0.1293121855997513,0.003337455730116989,0.18063935848196067,0.00610157352895732,0.9999999999996382,0.006225347931291014,0.022405548946452,0.00024705462633301347,0.02855276746336725,0.0012077488188153133,0.9999999999995782,0.020241821033421047,0.0743171866604384,0.0003388894005653144
PA,guesthost_Trp,40.0,90.0,0,3,0.9382511548435235,-153.30177782348795,0.44317948810300517,111166615.42212184,0.000610862396710436,12503.985887936129,0.41839775844459715,3863060.5037672464,0.4068337985969018,653.5305940266585,0.6685366356594649,3863060.5109987124,0.4068030318687557,396.4667714509848,0.4424518013783279,62365.99869437966
PA,guesthost_Trp,40.0,90.0,1,0,0.9888741383813286,-22750.532957795705,0.9999999999999993,0.0070739899059593,0.005814197168154566,5.869486770232159e-05,0.19004409835567918,0.008147252780779502,0.01781054349485239,0.00038673530638767123,0.0031663963706654156,0.00044763340842921424,0.10601635754766005,0.008390019465931828,0.009534675657628468,1.591295449284025e-05
PA,guesthost_Trp,40.0,90.0,1,2,0.9769636407354949,-7535.282025603351,0.9206840085279167,0.0440762663898266,0.00591473878226562,0.00012774139272816876,0.6043781727365023,0.07158659231116536,0.001774191365547001,0.0003064501039903538,0.010448344819854065,0.0016085995680084188,0.03665861308010359,0.003128150696180143,0.006900909777124549,7.988969731665705e-05
PA,guesthost_Trp,40.0,90.0,1,3,0.9696717369383482,-362.2767059925816,0.9999995341318376,0.24959366604093922,0.002071404356075448,0.0014325055318790626,0.4000512352429938,0.4166483033855431,0.006869123600446425,0.004065981703633946,0.15517108544818103,0.030158942555885956,0.04376720753190018,0.004750273695693261,0.011610809872230256,0.0004360465722097449
PA,guesthost_Trp,40.0,90.0,2,0,0.9874130893461716,-4359.5626157841225,0.9385651180321419,520050.8097739762,0.010346201921107714,210.89002959484262,0.5158226202283637,551773.5775569846,0.0103432141065703,261.92319952336805,0.08779052810870028,511649.100655571,0.010352578558342016,720.0281473080229,0.015954706368226552,0.000138217883845289
PA,guesthost_Trp,40.0,90.0,2,1,0.9905804188720507,-9184.759702528341,0.9249193011121606,135.64657498426794,0.01099452817214724,0.06153771498327294,0.40027708721774513,251688.92141145395,0.00972807372388593,292.7998378744761,0.19326181465735012,251652.37466979836,0.00972838987711022,607.141798384663,0.015943102608821445,6.367457547582825e-05
PA,guesthost_Trp,40.0,90.0,2,3,0.7341645942462065,-91.93933579470644,0.9714511563239914,11.303023140368358,0.002873464347699855,0.00716157942655572,0.9805047081671049,64.22063295623818,0.0010764213615343456,4.371519832045824,0.1374091537669606,64.22149926349246,0.0010720113042909103,31.534224742812306,0.003994170642336089,0.06585546391242116
PA,guesthost_Trp,40.0,90.0,0,1,0.9986814480569732,-33971.12626473426,0.8756831965772305,0.0010966060982466673,0.019211092254790577,4.210050399054211e-05,0.1462033226634868,0.0004986790746487208,0.21529064664083572,0.0011946292793777141,0.017499786901552888,0.00036829025679101105,0.8005474307659175,0.007153369353927564,0.06230844799566513,5.553380869724406e-05
PA,guesthost_Trp,40.0,90.0,0,2,0.9952103448859261,-5169.853997118516,0.1293121855997513,0.003337455730116989,0.18063935848196067,0.00610157352895732,0.9999999999996382,0.006225347931291014,0.022405548946452,0.00024705462633301347,0.02855276746336725,0.0012077488188153133,0.9999999999995782,0.020241821033421047,0.0743171866604384,0.0003388894005653144
PA,guesthost_Trp,40.0,90.0,0,3,0.9382511548435235,-153.30177782348795,0.44317948810300517,111166615.42212184,0.000610862396710436,12503.985887936129,0.41839775844459715,3863060.5037672464,0.4068337985969018,653.5305940266585,0.6685366356594649,3863060.5109987124,0.4068030318687557,396.4667714509848,0.4424518013783279,62365.99869437966
PA,guesthost_Trp,40.0,90.0,1,0,0.9888741383813286,-22750.532957795705,0.9999999999999993,0.0070739899059593,0.005814197168154566,5.869486770232159e-05,0.19004409835567918,0.008147252780779502,0.01781054349485239,0.00038673530638767123,0.0031663963706654156,0.00044763340842921424,0.10601635754766005,0.008390019465931828,0.009534675657628468,1.591295449284025e-05
PA,guesthost_Trp,40.0,90.0,1,2,0.9769636407354949,-7535.282025603351,0.9206840085279167,0.0440762663898266,0.00591473878226562,0.00012774139272816876,0.6043781727365023,0.07158659231116536,0.001774191365547001,0.0003064501039903538,0.010448344819854065,0.0016085995680084188,0.03665861308010359,0.003128150696180143,0.006900909777124549,7.988969731665705e-05
PA,guesthost_Trp,40.0,90.0,1,3,0.9696717369383482,-362.2767059925816,0.9999995341318376,0.24959366604093922,0.002071404356075448,0.0014325055318790626,0.4000512352429938,0.4166483033855431,0.006869123600446425,0.004065981703633946,0.15517108544818103,0.030158942555885956,0.04376720753190018,0.004750273695693261,0.011610809872230256,0.0004360465722097449
PA,guesthost_Trp,40.0,90.0,2,0,0.9874130893461716,-4359.5626157841225,0.9385651180321419,520050.8097739762,0.010346201921107714,210.89002959484262,0.5158226202283637,551773.5775569846,0.0103432141065703,261.92319952336805,0.08779052810870028,511649.100655571,0.010352578558342016,720.0281473080229,0.015954706368226552,0.000138217883845289
PA,guesthost_Trp,40.0,90.0,2,1,0.9905804188720507,-9184.759702528341,0.9249193011121606,135.64657498426794,0.01099452817214724,0.06153771498327294,0.40027708721774513,251688.92141145395,0.00972807372388593,292.7998378744761,0.19326181465735012,251652.37466979836,0.00972838987711022,607.141798384663,0.015943102608821445,6.367457547582825e-05
PA,guesthost_Trp,40.0,90.0,2,3,0.7341645942462065,-91.93933579470644,0.9714511563239914,11.303023140368358,0.002873464347699855,0.00716157942655572,0.9805047081671049,64.22063295623818,0.0010764213615343456,4.371519832045824,0.1374091537669606,64.22149926349246,0.0010720113042909103,31.534224742812306,0.003994170642336089,0.06585546391242116
PA,guesthost_Trp,40.0,90.0,0,1,0.9986814480569732,-33971.12626473426,0.8756831965772305,0.0010966060982466673,0.019211092254790577,4.210050399054211e-05,0.1462033226634868,0.0004986790746487208,0.21529064664083572,0.0011946292793777141,0.017499786901552888,0.00036829025679101105,0.8005474307659175,0.007153369353927564,0.06230844799566513,5.553380869724406e-05
PA,guesthost_Trp,40.0,90.0,0,2,0.9952103448859261,-5169.853997118516,0.1293121855997513,0.003337455730116989,0.18063935848196067,0.00610157352895732,0.9999999999996382,0.006225347931291014,0.022405548946452,0.00024705462633301347,0.02855276746336725,0.0012077488188153133,0.9999999999995782,0.020241821033421047,0.0743171866604384,0.0003388894005653144
PA,guesthost_Trp,40.0,90.0,0,3,0.9382511548435235,-153.30177782348795,0.44317948810300517,111166615.42212184,0.000610862396710436,12503.985887936129,0.41839775844459715,3863060.5037672464,0.4068337985969018,653.5305940266585,0.6685366356594649,3863060.5109987124,0.4068030318687557,396.4667714509848,0.4424518013783279,62365.99869437966
PA,guesthost_Trp,40.0,90.0,1,0,0.9888741383813286,-22750.532957795705,0.9999999999999993,0.0070739899059593,0.005814197168154566,5.869486770232159e-05,0.19004409835567918,0.008147252780779502,0.01781054349485239,0.00038673530638767123,0.0031663963706654156,0.00044763340842921424,0.10601635754766005,0.008390019465931828,0.009534675657628468,1.591295449284025e-05
PA,guesthost_Trp,40.0,90.0,1,2,0.9769636407354949,-7535.282025603351,0.9206840085279167,0.0440762663898266,0.00591473878226562,0.00012774139272816876,0.6043781727365023,0.07158659231116536,0.001774191365547001,0.0003064501039903538,0.010448344819854065,0.0016085995680084188,0.03665861308010359,0.003128150696180143,0.006900909777124549,7.988969731665705e-05
PA,guesthost_Trp,40.0,90.0,1,3,0.9696717369383482,-362.2767059925816,0.9999995341318376,0.24959366604093922,0.002071404356075448,0.0014325055318790626,0.4000512352429938,0.4166483033855431,0.006869123600446425,0.004065981703633946,0.15517108544818103,0.030158942555885956,0.04376720753190018,0.004750273695693261,0.011610809872230256,0.0004360465722097449
PA,guesthost_Trp,40.0,90.0,2,0,0.9874130893461716,-4359.5626157841225,0.9385651180321419,520050.8097739762,0.010346201921107714,210.89002959484262,0.5158226202283637,551773.5775569846,0.0103432141065703,261.92319952336805,0.08779052810870028,511649.100655571,0.010352578558342016,720.0281473080229,0.015954706368226552,0.000138217883845289
PA,guesthost_Trp,40.0,90.0,2,1,0.9905804188720507,-9184.759702528341,0.9249193011121606,135.64657498426794,0.01099452817214724,0.06153771498327294,0.40027708721774513,251688.92141145395,0.00972807372388593,292.7998378744761,0.19326181465735012,251652.37466979836,0.00972838987711022,607.141798384663,0.015943102608821445,6.367457547582825e-05
PA,guesthost_Trp,40.0,90.0,2,3,0.7341645942462065,-91.93933579470644,0.9714511563239914,11.303023140368358,0.002873464347699855,0.00716157942655572,0.9805047081671049,64.22063295623818,0.0010764213615343456,4.371519832045824,0.1374091537669606,64.22149926349246,0.0010720113042909103,31.534224742812306,0.003994170642336089,0.06585546391242116
