nanopore_name,peptide_name,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,A3,A3_err,tau3,tau3_err,tau_mean,tau_mean_err
PA,guesthost_Ala,0,2,0.966672774503649,-4690.0937868532565,0.9999999996732511,0.04207680433536221,0.0027271389699469943,0.00023205368981835957,0.36888492632589254,0.0620360868628359,0.008794389892629657,0.0007254665546263365,0.03429509369107372,0.0011522107789656388,0.2597691203536054,0.007352337998473157,0.014880063157254472,0.00021730698101783019
PA,guesthost_Ala,0,3,0.9818290731085926,-1827.6442684534493,0.9999999999999999,0.024998644129348605,0.00399872695769005,0.00020040457418107793,0.21665626242745306,0.023621464369289708,0.020090923228879117,0.0018002847168981958,0.02928514663012912,0.0018971074025426885,0.5137226818550623,0.02791414554294185,0.023395995358524567,0.0005229508248100342
PA,guesthost_Ala,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Ala,1,2,,,,,,,,,,,,,,,,
PA,guesthost_Ala,1,3,,,,,,,,,,,,,,,,
PA,guesthost_Ala,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Ala,2,1,0.8869497430585274,-1813.186294090493,0.9986005265552138,0.7138636700741618,0.0015106000974316196,0.0010934048154259135,0.42157026508862677,5490975.431022008,0.00451635432310564,8.01312643338049,0.26005746843764693,5490975.259844975,0.004515050030141807,14.884249599876888,0.004586619222643382,0.000531643179696942
PA,guesthost_Ala,2,3,,,,,,,,,,,,,,,,
PA,guesthost_Ala,0,1,0.9712328196423305,-3562.2116587262576,0.9999999999999997,0.028773036047228036,0.0032650837780359297,0.00019695708258382245,0.2744910416781794,0.03646466445488612,0.012559013536909776,0.0009824403557534866,0.02548542117403852,0.0011463634264189432,0.4937263367741188,0.019275253884624692,0.01929524412363625,0.0003970706411225493
PA,guesthost_Ala,0,2,0.966672774503649,-4690.0937868532565,0.9999999996732511,0.04207680433536221,0.0027271389699469943,0.00023205368981835957,0.36888492632589254,0.0620360868628359,0.008794389892629657,0.0007254665546263365,0.03429509369107372,0.0011522107789656388,0.2597691203536054,0.007352337998473157,0.014880063157254472,0.00021730698101783019
PA,guesthost_Ala,0,3,0.9818290731085926,-1827.6442684534493,0.9999999999999999,0.024998644129348605,0.00399872695769005,0.00020040457418107793,0.21665626242745306,0.023621464369289708,0.020090923228879117,0.0018002847168981958,0.02928514663012912,0.0018971074025426885,0.5137226818550623,0.02791414554294185,0.023395995358524567,0.0005229508248100342
PA,guesthost_Ala,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Ala,1,2,,,,,,,,,,,,,,,,
PA,guesthost_Ala,1,3,,,,,,,,,,,,,,,,
PA,guesthost_Ala,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Ala,2,1,0.8869497430585274,-1813.186294090493,0.9986005265552138,0.7138636700741618,0.0015106000974316196,0.0010934048154259135,0.42157026508862677,5490975.431022008,0.00451635432310564,8.01312643338049,0.26005746843764693,5490975.259844975,0.004515050030141807,14.884249599876888,0.004586619222643382,0.000531643179696942
PA,guesthost_Ala,2,3,,,,,,,,,,,,,,,,
PA,guesthost_Ala,0,1,0.9712328196423305,-3562.2116587262576,0.9999999999999997,0.028773036047228036,0.0032650837780359297,0.00019695708258382245,0.2744910416781794,0.03646466445488612,0.012559013536909776,0.0009824403557534866,0.02548542117403852,0.0011463634264189432,0.4937263367741188,0.019275253884624692,0.01929524412363625,0.0003970706411225493
PA,guesthost_Ala,0,2,0.966672774503649,-4690.0937868532565,0.9999999996732511,0.04207680433536221,0.0027271389699469943,0.00023205368981835957,0.36888492632589254,0.0620360868628359,0.008794389892629657,0.0007254665546263365,0.03429509369107372,0.0011522107789656388,0.2597691203536054,0.007352337998473157,0.014880063157254472,0.00021730698101783019
PA,guesthost_Ala,0,3,0.9818290731085926,-1827.6442684534493,0.9999999999999999,0.024998644129348605,0.00399872695769005,0.00020040457418107793,0.21665626242745306,0.023621464369289708,0.020090923228879117,0.0018002847168981958,0.02928514663012912,0.0018971074025426885,0.5137226818550623,0.02791414554294185,0.023395995358524567,0.0005229508248100342
PA,guesthost_Ala,1,0,,,,,,,,,,,,,,,,
PA,guesthost_Ala,1,2,,,,,,,,,,,,,,,,
PA,guesthost_Ala,1,3,,,,,,,,,,,,,,,,
PA,guesthost_Ala,2,0,,,,,,,,,,,,,,,,
PA,guesthost_Ala,2,1,0.8869497430585274,-1813.186294090493,0.9986005265552138,0.7138636700741618,0.0015106000974316196,0.0010934048154259135,0.42157026508862677,5490975.431022008,0.00451635432310564,8.01312643338049,0.26005746843764693,5490975.259844975,0.004515050030141807,14.884249599876888,0.004586619222643382,0.000531643179696942
PA,guesthost_Ala,2,3,,,,,,,,,,,,,,,,
