nanopore_name,peptide_name,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,tau_mean,tau_mean_err
PA,guesthost_Ala,2,0,0.16665638066243893,-207.80415793267943,0.9999993653386045,1.8053647194556421,0.0011857157426980792,0.004194846953535574,0.9956680035014179,4.249970812585003,0.0018499181161666675,0.00077589177592105,0.003027619267534841,0.002511077809818506
PA,guesthost_Ala,2,1,0.8869575173025861,-1826.7035030562035,0.9999999999587561,0.3353428207258163,0.0015098545805889863,0.0005227914366947027,0.6814347698191263,0.1184236079583503,0.004516363516331546,0.00023676809230904403,0.004587461713697601,0.00029708210949021176
PA,guesthost_Ala,2,3,0.9420422247966799,-9941.850704427958,0.9999999999919554,0.0456012495480748,0.0022489307131626354,0.0001376299400085162,0.6852009488372711,0.06230674416594335,0.004680131573373857,9.498919942390723e-05,0.005455761307903581,4.417003287007978e-05
PA,guesthost_Ala,0,1,0.9564900579697413,-3159.3905424485974,0.9999999999999679,0.01357219672518314,0.005552518365528367,8.524651640111203e-05,0.03983769365055718,0.0012193782861635468,0.39157360698829075,0.012538645636696545,0.021151907762371393,0.00047391909522689386
PA,guesthost_Ala,0,2,0.9538763085241811,-4255.472576006794,0.9999999999998485,0.0123803182864817,0.005147116091330297,7.193095627917122e-05,0.043074555366954335,0.001198428043640889,0.23204430128610576,0.00626016125833232,0.015142321194664113,0.000247923067247488
PA,guesthost_Ala,0,3,0.9698445471833275,-1607.3991916341213,0.999999999997807,0.016015152989110795,0.006474527967728836,0.00012429931347166388,0.051584821138735366,0.0018394934820841237,0.37241226834807567,0.013593047892884607,0.02568534822032084,0.0006324636562925759
PA,guesthost_Ala,1,0,0.5908329646837185,-771.5615488192831,0.9999999999996025,0.1635846531139653,0.0021513560428173878,0.0006204007738470499,0.17836147717071385,0.13331914013145096,0.006025711217163665,0.0012770547696415965,0.003226110796513984,0.00016964070529771916
PA,guesthost_Ala,1,2,,,,,,,,,,,,
PA,guesthost_Ala,1,3,,,,,,,,,,,,
PA,guesthost_Ala,2,0,0.16665638066243893,-207.80415793267943,0.9999993653386045,1.8053647194556421,0.0011857157426980792,0.004194846953535574,0.9956680035014179,4.249970812585003,0.0018499181161666675,0.00077589177592105,0.003027619267534841,0.002511077809818506
PA,guesthost_Ala,2,1,0.8869575173025861,-1826.7035030562035,0.9999999999587561,0.3353428207258163,0.0015098545805889863,0.0005227914366947027,0.6814347698191263,0.1184236079583503,0.004516363516331546,0.00023676809230904403,0.004587461713697601,0.00029708210949021176
PA,guesthost_Ala,2,3,0.9420422247966799,-9941.850704427958,0.9999999999919554,0.0456012495480748,0.0022489307131626354,0.0001376299400085162,0.6852009488372711,0.06230674416594335,0.004680131573373857,9.498919942390723e-05,0.005455761307903581,4.417003287007978e-05
PA,guesthost_Ala,0,1,0.9564900579697413,-3159.3905424485974,0.9999999999999679,0.01357219672518314,0.005552518365528367,8.524651640111203e-05,0.03983769365055718,0.0012193782861635468,0.39157360698829075,0.012538645636696545,0.021151907762371393,0.00047391909522689386
PA,guesthost_Ala,0,2,0.9538763085241811,-4255.472576006794,0.9999999999998485,0.0123803182864817,0.005147116091330297,7.193095627917122e-05,0.043074555366954335,0.001198428043640889,0.23204430128610576,0.00626016125833232,0.015142321194664113,0.000247923067247488
PA,guesthost_Ala,0,3,0.9698445471833275,-1607.3991916341213,0.999999999997807,0.016015152989110795,0.006474527967728836,0.00012429931347166388,0.051584821138735366,0.0018394934820841237,0.37241226834807567,0.013593047892884607,0.02568534822032084,0.0006324636562925759
PA,guesthost_Ala,1,0,0.5908329646837185,-771.5615488192831,0.9999999999996025,0.1635846531139653,0.0021513560428173878,0.0006204007738470499,0.17836147717071385,0.13331914013145096,0.006025711217163665,0.0012770547696415965,0.003226110796513984,0.00016964070529771916
PA,guesthost_Ala,1,2,,,,,,,,,,,,
PA,guesthost_Ala,1,3,,,,,,,,,,,,
PA,guesthost_Ala,2,0,0.16665638066243893,-207.80415793267943,0.9999993653386045,1.8053647194556421,0.0011857157426980792,0.004194846953535574,0.9956680035014179,4.249970812585003,0.0018499181161666675,0.00077589177592105,0.003027619267534841,0.002511077809818506
PA,guesthost_Ala,2,1,0.8869575173025861,-1826.7035030562035,0.9999999999587561,0.3353428207258163,0.0015098545805889863,0.0005227914366947027,0.6814347698191263,0.1184236079583503,0.004516363516331546,0.00023676809230904403,0.004587461713697601,0.00029708210949021176
PA,guesthost_Ala,2,3,0.9420422247966799,-9941.850704427958,0.9999999999919554,0.0456012495480748,0.0022489307131626354,0.0001376299400085162,0.6852009488372711,0.06230674416594335,0.004680131573373857,9.498919942390723e-05,0.005455761307903581,4.417003287007978e-05
