nanopore_name,peptide_name,from_state,to_state,r_squared,bic,A1,A1_err,tau1,tau1_err,A2,A2_err,tau2,tau2_err,tau_mean,tau_mean_err
PA,guesthost_Trp,0,3,0.9591153683453599,-506.40401685711356,0.8941274413090695,0.03465412003416028,0.005822349235733341,0.0003476363415124773,0.11813544641528717,0.00662378856705854,0.21191120438838498,0.010984659982648933,0.03024014695537709,0.0010492391689517302
PA,guesthost_Trp,1,0,0.9017408859929745,-26192.539201806245,0.9999999999999997,0.008406260480299634,0.0035055117319912404,3.559226471374417e-05,0.06648367489495949,0.0013338789939008864,0.04051156606812549,0.0005268936956674986,0.006198869519950166,2.785733321326973e-05
PA,guesthost_Trp,1,2,0.885612201212422,-11666.119288902359,0.9999999999999959,0.018183474211447902,0.003101560807115103,6.572783034806564e-05,0.10217249033521612,0.0023392860084346487,0.05706060135038466,0.000899934227942876,0.008931584547108887,7.54806219164621e-05
PA,guesthost_Trp,1,3,0.9916784042012914,-3981.603699262331,0.9999999999999999,0.10167465563404722,0.001794953360844712,0.00013427914716872665,0.584629698299771,0.004077264362679815,0.04965184336611025,0.0002283449816137765,0.03082289556800123,0.00014345840760988143
PA,guesthost_Trp,2,0,0.9717563172065506,-11896.094802506295,0.9999999999997967,0.015134767630791808,0.0042060332624220655,7.899194514346302e-05,0.2317533146691611,0.01848934889154491,0.009309174490526328,0.0001865089579607767,0.006363465307434286,2.0043356505621005e-05
PA,guesthost_Trp,2,1,0.9716095640100699,-18224.371042617237,0.9999999999999999,0.003934902935688852,0.006648886303537497,2.3643649241678194e-05,0.003138482273635305,0.0003523396688179104,0.059442970623031395,0.0048444076421021946,0.006835447013130104,1.6822418135121145e-05
PA,guesthost_Trp,2,3,0.8252575683024381,-3148.395636092581,0.9999999999999999,0.02248639967197088,0.00357001107279732,7.599200622603725e-05,0.007657231422079579,0.0018192591370030148,0.05182906524713124,0.01123341571884509,0.003966878219784665,5.238219117724087e-05
PA,guesthost_Trp,0,1,0.9525639914053424,-35842.102843943685,0.7956682648850388,0.002660055457261517,0.01845172470373596,9.253305624397634e-05,0.05287701320017653,0.00044730106853370404,0.5486536779446598,0.004728692670494773,0.04369261955016318,0.0002283701031830302
PA,guesthost_Trp,0,2,0.9871760860130757,-13634.317886905188,0.8794977955554589,0.0035827290893814603,0.01085202859107313,6.568410384529128e-05,0.0936226183173243,0.0008481868847413224,0.1873814316150698,0.001261979577564795,0.02708747547500511,9.859718829614521e-05
PA,guesthost_Trp,0,3,0.9591153683453599,-506.40401685711356,0.8941274413090695,0.03465412003416028,0.005822349235733341,0.0003476363415124773,0.11813544641528717,0.00662378856705854,0.21191120438838498,0.010984659982648933,0.03024014695537709,0.0010492391689517302
PA,guesthost_Trp,1,0,0.9017408859929745,-26192.539201806245,0.9999999999999997,0.008406260480299634,0.0035055117319912404,3.559226471374417e-05,0.06648367489495949,0.0013338789939008864,0.04051156606812549,0.0005268936956674986,0.006198869519950166,2.785733321326973e-05
PA,guesthost_Trp,1,2,0.885612201212422,-11666.119288902359,0.9999999999999959,0.018183474211447902,0.003101560807115103,6.572783034806564e-05,0.10217249033521612,0.0023392860084346487,0.05706060135038466,0.000899934227942876,0.008931584547108887,7.54806219164621e-05
PA,guesthost_Trp,1,3,0.9916784042012914,-3981.603699262331,0.9999999999999999,0.10167465563404722,0.001794953360844712,0.00013427914716872665,0.584629698299771,0.004077264362679815,0.04965184336611025,0.0002283449816137765,0.03082289556800123,0.00014345840760988143
PA,guesthost_Trp,2,0,0.9717563172065506,-11896.094802506295,0.9999999999997967,0.015134767630791808,0.0042060332624220655,7.899194514346302e-05,0.2317533146691611,0.01848934889154491,0.009309174490526328,0.0001865089579607767,0.006363465307434286,2.0043356505621005e-05
PA,guesthost_Trp,2,1,0.9716095640100699,-18224.371042617237,0.9999999999999999,0.003934902935688852,0.006648886303537497,2.3643649241678194e-05,0.003138482273635305,0.0003523396688179104,0.059442970623031395,0.0048444076421021946,0.006835447013130104,1.6822418135121145e-05
PA,guesthost_Trp,2,3,0.8252575683024381,-3148.395636092581,0.9999999999999999,0.02248639967197088,0.00357001107279732,7.599200622603725e-05,0.007657231422079579,0.0018192591370030148,0.05182906524713124,0.01123341571884509,0.003966878219784665,5.238219117724087e-05
PA,guesthost_Trp,0,1,0.9525639914053424,-35842.102843943685,0.7956682648850388,0.002660055457261517,0.01845172470373596,9.253305624397634e-05,0.05287701320017653,0.00044730106853370404,0.5486536779446598,0.004728692670494773,0.04369261955016318,0.0002283701031830302
PA,guesthost_Trp,0,2,0.9871760860130757,-13634.317886905188,0.8794977955554589,0.0035827290893814603,0.01085202859107313,6.568410384529128e-05,0.0936226183173243,0.0008481868847413224,0.1873814316150698,0.001261979577564795,0.02708747547500511,9.859718829614521e-05
PA,guesthost_Trp,0,3,0.9591153683453599,-506.40401685711356,0.8941274413090695,0.03465412003416028,0.005822349235733341,0.0003476363415124773,0.11813544641528717,0.00662378856705854,0.21191120438838498,0.010984659982648933,0.03024014695537709,0.0010492391689517302
PA,guesthost_Trp,1,0,0.9017408859929745,-26192.539201806245,0.9999999999999997,0.008406260480299634,0.0035055117319912404,3.559226471374417e-05,0.06648367489495949,0.0013338789939008864,0.04051156606812549,0.0005268936956674986,0.006198869519950166,2.785733321326973e-05
PA,guesthost_Trp,1,2,0.885612201212422,-11666.119288902359,0.9999999999999959,0.018183474211447902,0.003101560807115103,6.572783034806564e-05,0.10217249033521612,0.0023392860084346487,0.05706060135038466,0.000899934227942876,0.008931584547108887,7.54806219164621e-05
PA,guesthost_Trp,1,3,0.9916784042012914,-3981.603699262331,0.9999999999999999,0.10167465563404722,0.001794953360844712,0.00013427914716872665,0.584629698299771,0.004077264362679815,0.04965184336611025,0.0002283449816137765,0.03082289556800123,0.00014345840760988143
PA,guesthost_Trp,2,0,0.9717563172065506,-11896.094802506295,0.9999999999997967,0.015134767630791808,0.0042060332624220655,7.899194514346302e-05,0.2317533146691611,0.01848934889154491,0.009309174490526328,0.0001865089579607767,0.006363465307434286,2.0043356505621005e-05
PA,guesthost_Trp,2,1,0.9716095640100699,-18224.371042617237,0.9999999999999999,0.003934902935688852,0.006648886303537497,2.3643649241678194e-05,0.003138482273635305,0.0003523396688179104,0.059442970623031395,0.0048444076421021946,0.006835447013130104,1.6822418135121145e-05
PA,guesthost_Trp,2,3,0.8252575683024381,-3148.395636092581,0.9999999999999999,0.02248639967197088,0.00357001107279732,7.599200622603725e-05,0.007657231422079579,0.0018192591370030148,0.05182906524713124,0.01123341571884509,0.003966878219784665,5.238219117724087e-05
